name,FGA,FGM,FT%,3PT%,PTS,REB,AST,ST,BLK,TO
Carsen Edwards,128,42,0.684,0.316,121,47,24,12,4,15
Bruno Fernando,199,103,0.569,0.135,240,198,49,18,17,42
Cody Martin,207,89,0.646,0.234,238,158,95,39,9,44
Deividas Sirvydis,0,0,0,0,0,0,0,0,0,0
Daniel Gafford,134,94,0.533,0,220,106,21,13,56,29
Alen Smailagic,40,20,0.842,0.231,59,27,13,3,4,11
Justin James,84,35,0.476,0.31,89,32,18,6,9,7
Eric Paschall,640,318,0.774,0.287,837,275,127,32,13,94
Jaylen Nowell,53,19,0.941,0.115,57,13,19,3,1,3
Bol Bol,28,14,0.8,0.444,40,19,6,2,6,10
Isaiah Roby,1,0,0,0,0,2,0,0,0,1
Talen Horton-Tucker,30,14,0.5,0.308,34,7,6,8,1,6
Ignas Brazdeikis,22,6,0.8,0.111,17,5,4,0,1,2
Terance Mann,79,37,0.667,0.35,99,55,53,11,5,18
Quinndary Weatherspoon,17,5,0.5,0.2,12,7,11,3,1,5
Jarrell Brantley,28,10,0.5,0.231,24,20,11,3,5,7
Tremont Waters,49,14,1,0.167,40,12,16,10,2,15
Jalen McDaniels,70,33,0.824,0.375,89,65,13,8,3,11
Kyle Guy,5,2,0,0,4,1,1,0,0,0
Miye Oni,32,12,0.8,0.368,35,17,4,4,2,4
Jalen Lecque,10,4,1,0,10,2,2,0,0,2
Adam Mokoka,28,12,0.5,0.4,32,10,4,4,0,2
Naz Reid,243,100,0.698,0.33,269,124,35,19,22,22
Luguentz Dort,218,86,0.792,0.297,244,81,27,31,4,22
John Konchar,37,24,0.5,0.5,54,47,22,7,3,7
Dean Wade,13,9,0,0.5,20,19,2,2,4,3
Chris Silva,78,48,0.673,0,133,126,23,9,21,32
Garrison Mathews,56,24,0.912,0.413,98,24,10,8,1,8
Vincent Poirier,36,17,0.857,0.5,41,43,8,2,9,8
Matt Thomas,150,73,0.75,0.475,202,61,22,10,1,16
Max Strus,3,2,1,0,5,1,0,0,0,0
Tacko Fall,14,11,0.333,0,23,15,1,1,4,3
Javonte Green,126,63,0.667,0.273,163,93,26,24,8,23
Nicolo Melli,323,136,0.74,0.335,395,180,82,34,23,46
Caleb Martin,84,37,0.81,0.541,111,38,23,12,7,15
DaQuan Jeffries,40,20,0.833,0.278,50,18,7,4,1,2
Terence Davis,436,199,0.864,0.388,543,237,115,39,14,76
Kelan Martin,181,71,0.968,0.26,197,96,23,7,9,20
Tyler Cook,12,8,0.875,0,23,14,1,3,0,3
